indicator_id,province_id,indicator_value,year
31,3200,29.35,2022
31,3300,22.68,2022
31,3400,25.00,2022
31,3500,23.71,2022
31,3600,21.74,2022
31,5100,19.57,2022
31,5200,1.59,2022
31,5300,25.00,2022
31,6100,22.64,2022
31,6200,50.00,2022
31,6300,25.58,2022
31,6400,25.00,2022
31,6500,12.90,2022
31,7100,35.48,2022
31,7200,40.63,2022
31,7300,37.10,2022
31,7400,25.00,2022
31,7500,36.36,2022
31,7600,12.82,2022
31,8100,28.57,2022
31,8200,40.63,2022
31,9100,16.67,2022
31,9400,14.58,2022
31,1001,26.37,2022
